Name,Personal Income
"Abilene, TX","53,457"
"Akron, OH","60,170"
"Albany, GA","45,893"
"Albany-Lebanon, OR","52,469"
"Albany-Schenectady-Troy, NY","66,984"
"Albuquerque, NM","53,954"
"Alexandria, LA","51,451"
"Allentown-Bethlehem-Easton, PA-NJ","62,912"
"Altoona, PA","55,101"
"Amarillo, TX","57,124"
"Ames, IA","50,657"
"Anchorage, AK","70,566"
"Ann Arbor, MI","71,368"
"Anniston-Oxford, AL","42,533"
"Appleton, WI","60,060"
"Asheville, NC","57,810"
"Athens-Clarke County, GA","49,884"
"Atlanta-Sandy Springs-Alpharetta, GA","64,107"
"Atlantic City-Hammonton, NJ","55,918"
"Auburn-Opelika, AL","46,691"
"Augusta-Richmond County, GA-SC","49,496"
"Austin-Round Rock-Georgetown, TX","75,119"
"Bakersfield, CA","44,862"
"Baltimore-Columbia-Towson, MD","71,420"
"Bangor, ME","51,998"
"Barnstable Town, MA","85,317"
"Baton Rouge, LA","56,897"
"Battle Creek, MI","44,904"
"Bay City, MI","49,667"
"Beaumont-Port Arthur, TX","49,526"
"Beckley, WV","47,065"
"Bellingham, WA","58,993"
"Bend, OR","71,627"
"Billings, MT","64,017"
"Binghamton, NY","49,216"
"Birmingham-Hoover, AL","62,262"
"Bismarck, ND","68,698"
"Blacksburg-Christiansburg, VA","46,345"
"Bloomington, IL","58,178"
"Bloomington, IN","53,735"
"Bloomsburg-Berwick, PA","53,399"
"Boise City, ID","59,739"
"Boston-Cambridge-Newton, MA-NH","94,082"
"Boulder, CO","98,553"
"Bowling Green, KY","44,902"
"Bremerton-Silverdale-Port Orchard, WA","68,198"
"Bridgeport-Stamford-Norwalk, CT","125,185"
"Brownsville-Harlingen, TX","37,325"
"Brunswick, GA","54,827"
"Buffalo-Cheektowaga, NY","56,414"
"Burlington, NC","48,980"
"Burlington-South Burlington, VT","67,342"
"California-Lexington Park, MD","66,146"
"Canton-Massillon, OH","53,175"
"Cape Coral-Fort Myers, FL","63,568"
"Cape Girardeau, MO-IL","49,170"
"Carbondale-Marion, IL","48,363"
"Carson City, NV","61,026"
"Casper, WY","68,472"
"Cedar Rapids, IA","61,165"
"Chambersburg-Waynesboro, PA","55,212"
"Champaign-Urbana, IL","55,562"
"Charleston, WV","52,369"
"Charleston-North Charleston, SC","63,159"
"Charlotte-Concord-Gastonia, NC-SC","65,156"
"Charlottesville, VA","80,969"
"Chattanooga, TN-GA","54,665"
"Cheyenne, WY","59,148"
"Chicago-Naperville-Elgin, IL-IN-WI","72,512"
"Chico, CA","54,974"
"Cincinnati, OH-KY-IN","65,253"
"Clarksville, TN-KY","47,421"
"Cleveland, TN","46,240"
"Cleveland-Elyria, OH","62,921"
"Coeur d'Alene, ID","60,474"
"College Station-Bryan, TX","48,514"
"Colorado Springs, CO","61,217"
"Columbia, MO","54,618"
"Columbia, SC","54,597"
"Columbus, GA-AL","46,748"
"Columbus, IN","61,920"
"Columbus, OH","61,228"
"Corpus Christi, TX","54,916"
"Corvallis, OR","55,325"
"Crestview-Fort Walton Beach-Destin, FL","67,820"
"Cumberland, MD-WV","47,013"
"Dallas-Fort Worth-Arlington, TX","70,493"
"Dalton, GA","43,089"
"Danville, IL","49,105"
"Daphne-Fairhope-Foley, AL","56,747"
"Davenport-Moline-Rock Island, IA-IL","56,690"
"Dayton-Kettering, OH","56,468"
"Decatur, AL","45,215"
"Decatur, IL","56,774"
"Deltona-Daytona Beach-Ormond Beach, FL","54,768"
"Denver-Aurora-Lakewood, CO","84,788"
"Des Moines-West Des Moines, IA","64,401"
"Detroit-Warren-Dearborn, MI","61,322"
"Dothan, AL","49,482"
"Dover, DE","51,188"
"Dubuque, IA","60,090"
"Duluth, MN-WI","54,565"
"Durham-Chapel Hill, NC","63,799"
"East Stroudsburg, PA","52,643"
"Eau Claire, WI","56,225"
"El Centro, CA","45,188"
"Elizabethtown-Fort Knox, KY","50,602"
"Elkhart-Goshen, IN","58,570"
"Elmira, NY","51,630"
"El Paso, TX","44,163"
"Enid, OK","48,872"
"Erie, PA","51,396"
"Eugene-Springfield, OR","56,188"
"Evansville, IN-KY","58,138"
"Fairbanks, AK","67,790"
"Fargo, ND-MN","64,468"
"Farmington, NM","43,489"
"Fayetteville, NC","45,051"
"Fayetteville-Springdale-Rogers, AR","74,943"
"Flagstaff, AZ","58,933"
"Flint, MI","47,564"
"Florence, SC","50,679"
"Florence-Muscle Shoals, AL","44,713"
"Fond du Lac, WI","58,204"
"Fort Collins, CO","67,849"
"Fort Smith, AR-OK","45,543"
"Fort Wayne, IN","57,079"
"Fresno, CA","50,549"
"Gadsden, AL","42,951"
"Gainesville, FL","50,892"
"Gainesville, GA","57,416"
"Gettysburg, PA","55,597"
"Glens Falls, NY","54,454"
"Goldsboro, NC","49,370"
"Grand Forks, ND-MN","60,462"
"Grand Island, NE","54,336"
"Grand Junction, CO","54,654"
"Grand Rapids-Kentwood, MI","62,131"
"Grants Pass, OR","52,166"
"Great Falls, MT","57,020"
"Greeley, CO","58,860"
"Green Bay, WI","61,179"
"Greensboro-High Point, NC","52,335"
"Greenville, NC","53,495"
"Greenville-Anderson, SC","52,202"
"Gulfport-Biloxi, MS","45,604"
"Hagerstown-Martinsburg, MD-WV","52,426"
"Hammond, LA","47,512"
"Hanford-Corcoran, CA","42,525"
"Harrisburg-Carlisle, PA","60,723"
"Harrisonburg, VA","51,466"
"Hartford-East Hartford-Middletown, CT","69,787"
"Hattiesburg, MS","44,507"
"Hickory-Lenoir-Morganton, NC","49,697"
"Hilton Head Island-Bluffton, SC","67,794"
"Hinesville, GA","39,616"
"Homosassa Springs, FL","45,330"
"Hot Springs, AR","48,507"
"Houma-Thibodaux, LA","50,394"
"Houston-The Woodlands-Sugar Land, TX","68,344"
"Huntington-Ashland, WV-KY-OH","48,311"
"Huntsville, AL","59,677"
"Idaho Falls, ID","59,280"
"Indianapolis-Carmel-Anderson, IN","68,719"
"Iowa City, IA","64,399"
"Ithaca, NY","51,169"
"Jackson, MI","46,409"
"Jackson, MS","53,606"
"Jackson, TN","49,028"
"Jacksonville, FL","62,729"
"Jacksonville, NC","51,585"
"Janesville-Beloit, WI","52,517"
"Jefferson City, MO","51,936"
"Johnson City, TN","48,978"
"Johnstown, PA","47,971"
"Jonesboro, AR","45,736"
"Joplin, MO","44,900"
"Kahului-Wailuku-Lahaina, HI","60,376"
"Kalamazoo-Portage, MI","59,619"
"Kankakee, IL","51,048"
"Kansas City, MO-KS","63,417"
"Kennewick-Richland, WA","51,799"
"Killeen-Temple, TX","47,680"
"Kingsport-Bristol, TN-VA","47,442"
"Kingston, NY","62,270"
"Knoxville, TN","58,239"
"Kokomo, IN","47,388"
"La Crosse-Onalaska, WI-MN","60,402"
"Lafayette, LA","52,503"
"Lafayette-West Lafayette, IN","48,158"
"Lake Charles, LA","51,799"
"Lake Havasu City-Kingman, AZ","44,645"
"Lakeland-Winter Haven, FL","43,223"
"Lancaster, PA","63,044"
"Lansing-East Lansing, MI","50,647"
"Laredo, TX","40,873"
"Las Cruces, NM","45,361"
"Las Vegas-Henderson-Paradise, NV","59,150"
"Lawrence, KS","52,799"
"Lawton, OK","47,719"
"Lebanon, PA","56,207"
"Lewiston, ID-WA","54,393"
"Lewiston-Auburn, ME","49,055"
"Lexington-Fayette, KY","57,875"
"Lima, OH","50,195"
"Lincoln, NE","60,299"
"Little Rock-North Little Rock-Conway, AR","55,848"
"Logan, UT-ID","48,059"
"Longview, TX","50,727"
"Longview, WA","54,630"
"Los Angeles-Long Beach-Anaheim, CA","76,445"
"Louisville/Jefferson County, KY-IN","61,490"
"Lubbock, TX","52,295"
"Lynchburg, VA","48,255"
"Macon-Bibb County, GA","46,470"
"Madera, CA","46,406"
"Madison, WI","71,516"
"Manchester-Nashua, NH","71,761"
"Manhattan, KS","52,544"
"Mankato, MN","54,537"
"Mansfield, OH","44,998"
"McAllen-Edinburg-Mission, TX","33,525"
"Medford, OR","57,552"
"Memphis, TN-MS-AR","56,440"
"Merced, CA","46,188"
"Miami-Fort Lauderdale-Pompano Beach, FL","77,732"
"Michigan City-La Porte, IN","49,992"
"Midland, MI","60,842"
"Midland, TX","143,728"
"Milwaukee-Waukesha, WI","68,155"
"Minneapolis-St. Paul-Bloomington, MN-WI","75,164"
"Missoula, MT","63,790"
"Mobile, AL","47,447"
"Modesto, CA","51,015"
"Monroe, LA","46,638"
"Monroe, MI","52,998"
"Montgomery, AL","49,134"
"Morgantown, WV","52,114"
"Morristown, TN","45,286"
"Mount Vernon-Anacortes, WA","62,915"
"Muncie, IN","45,465"
"Muskegon, MI","45,571"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","50,217"
"Napa, CA","86,863"
"Naples-Marco Island, FL","131,160"
"Nashville-Davidson--Murfreesboro--Franklin, TN","74,035"
"New Bern, NC","53,690"
"New Haven-Milford, CT","64,829"
"New Orleans-Metairie, LA","61,801"
"New York-Newark-Jersey City, NY-NJ-PA","84,084"
"Niles, MI","60,311"
"North Port-Sarasota-Bradenton, FL","72,316"
"Norwich-New London, CT","64,847"
"Ocala, FL","44,521"
"Ocean City, NJ","71,590"
"Odessa, TX","55,448"
"Ogden-Clearfield, UT","54,671"
"Oklahoma City, OK","60,687"
"Olympia-Lacey-Tumwater, WA","59,697"
"Omaha-Council Bluffs, NE-IA","68,586"
"Orlando-Kissimmee-Sanford, FL","53,959"
"Oshkosh-Neenah, WI","56,878"
"Owensboro, KY","49,701"
"Oxnard-Thousand Oaks-Ventura, CA","76,375"
"Palm Bay-Melbourne-Titusville, FL","56,817"
"Panama City, FL","54,268"
"Parkersburg-Vienna, WV","57,251"
"Pensacola-Ferry Pass-Brent, FL","54,221"
"Peoria, IL","56,918"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","73,291"
"Phoenix-Mesa-Chandler, AZ","61,840"
"Pine Bluff, AR","40,525"
"Pittsburgh, PA","65,792"
"Pittsfield, MA","64,758"
"Pocatello, ID","47,470"
"Portland-South Portland, ME","71,990"
"Portland-Vancouver-Hillsboro, OR-WA","69,435"
"Port St. Lucie, FL","70,400"
"Poughkeepsie-Newburgh-Middletown, NY","62,509"
"Prescott Valley-Prescott, AZ","51,747"
"Providence-Warwick, RI-MA","63,746"
"Provo-Orem, UT","53,731"
"Pueblo, CO","47,208"
"Punta Gorda, FL","53,227"
"Racine, WI","57,574"
"Raleigh-Cary, NC","70,628"
"Rapid City, SD","65,807"
"Reading, PA","58,199"
"Redding, CA","54,120"
"Reno, NV","78,077"
"Richmond, VA","68,205"
"Riverside-San Bernardino-Ontario, CA","50,407"
"Roanoke, VA","55,243"
"Rochester, MN","65,003"
"Rochester, NY","57,902"
"Rockford, IL","50,806"
"Rocky Mount, NC","48,298"
"Rome, GA","44,126"
"Sacramento-Roseville-Folsom, CA","66,940"
"Saginaw, MI","47,700"
"St. Cloud, MN","58,261"
"St. George, UT","50,746"
"St. Joseph, MO-KS","46,980"
"St. Louis, MO-IL","69,698"
"Salem, OR","53,589"
"Salinas, CA","65,123"
"Salisbury, MD-DE","58,936"
"Salt Lake City, UT","65,085"
"San Angelo, TX","63,284"
"San Antonio-New Braunfels, TX","55,180"
"San Diego-Chula Vista-Carlsbad, CA","74,326"
"San Francisco-Oakland-Berkeley, CA","123,736"
"San Jose-Sunnyvale-Santa Clara, CA","141,516"
"San Luis Obispo-Paso Robles, CA","67,951"
"Santa Cruz-Watsonville, CA","86,365"
"Santa Fe, NM","74,751"
"Santa Maria-Santa Barbara, CA","75,720"
"Santa Rosa-Petaluma, CA","77,900"
"Savannah, GA","55,383"
"Scranton--Wilkes-Barre, PA","52,304"
"Seattle-Tacoma-Bellevue, WA","92,113"
"Sebastian-Vero Beach, FL","105,250"
"Sebring-Avon Park, FL","41,845"
"Sheboygan, WI","60,359"
"Sherman-Denison, TX","53,393"
"Shreveport-Bossier City, LA","55,858"
"Sierra Vista-Douglas, AZ","50,195"
"Sioux City, IA-NE-SD","59,427"
"Sioux Falls, SD","74,725"
"South Bend-Mishawaka, IN-MI","56,410"
"Spartanburg, SC","52,621"
"Spokane-Spokane Valley, WA","53,620"
"Springfield, IL","57,178"
"Springfield, MA","60,461"
"Springfield, MO","49,533"
"Springfield, OH","47,151"
"State College, PA","54,686"
"Staunton, VA","52,910"
"Stockton, CA","54,183"
"Sumter, SC","46,288"
"Syracuse, NY","57,576"
"Tallahassee, FL","52,359"
"Tampa-St. Petersburg-Clearwater, FL","60,091"
"Terre Haute, IN","45,783"
"Texarkana, TX-AR","46,472"
"The Villages, FL","69,224"
"Toledo, OH","54,483"
"Topeka, KS","54,500"
"Trenton-Princeton, NJ","79,354"
"Tucson, AZ","54,464"
"Tulsa, OK","62,618"
"Tuscaloosa, AL","41,350"
"Twin Falls, ID","48,305"
"Tyler, TX","66,784"
"Urban Honolulu, HI","64,936"
"Utica-Rome, NY","51,162"
"Valdosta, GA","42,469"
"Vallejo, CA","58,273"
"Victoria, TX","58,905"
"Vineland-Bridgeton, NJ","46,791"
"Virginia Beach-Norfolk-Newport News, VA-NC","57,873"
"Visalia, CA","47,295"
"Waco, TX","49,798"
"Walla Walla, WA","55,436"
"Warner Robins, GA","47,478"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","83,010"
"Waterloo-Cedar Falls, IA","55,247"
"Watertown-Fort Drum, NY","51,749"
"Wausau-Weston, WI","58,770"
"Weirton-Steubenville, WV-OH","47,725"
"Wenatchee, WA","57,853"
"Wheeling, WV-OH","53,193"
"Wichita, KS","58,165"
"Wichita Falls, TX","51,731"
"Williamsport, PA","49,869"
"Wilmington, NC","58,526"
"Winchester, VA-WV","59,702"
"Winston-Salem, NC","54,330"
"Worcester, MA-CT","63,475"
"Yakima, WA","49,266"
"York-Hanover, PA","57,321"
"Youngstown-Warren-Boardman, OH-PA","48,645"
"Yuba City, CA","50,252"
"Yuma, AZ","44,811"
,
,
,
,
,
,
,
,
,